scen,demand_mw,shed_mw,shed,cost_usd,lmp_at_slack,n_at_limit,lmp_spread,expensive_on
997,387.4673640308993,0.0,false,32289.16354744997,126.39686599999993,0,1.4210854715202004e-13,false
998,1294.788115688649,185.1962051931972,true,137307.41066461816,10000.00000000001,2,9873.60313200001,false
999,467.46815134480744,0.0,false,42401.01194145656,126.3968670000005,0,5.115907697472721e-13,false
1000,969.6308361493508,46.96026677735691,true,120395.2035527458,9233.951587407144,3,10522.311477258858,true
1001,1106.062401827876,0.0,false,133594.78277151674,212.62808337347093,1,105.60193845727915,false
1002,1510.2765333727593,377.09764240928405,true,140288.7309562451,10000.00000000003,2,9873.603132000186,false
1003,265.66897447219446,0.0,false,18117.976316961835,96.05429600000065,0,1.1368683772161603e-12,false
1004,548.7988615377768,0.0,false,54049.33189666557,137.08524348734122,1,27.98924290731489,false
1005,777.6803036391588,0.0,false,83092.79022888701,137.08524252169536,1,27.9892325226309,false
1006,883.50878447986,6.655412044033925,true,115014.45591029595,3351.329611574901,1,10756.182234308133,true
1007,563.540714186039,0.0,false,54544.28231281384,126.39686800000095,0,9.663381206337363e-13,false
1008,371.6587961540586,0.0,false,30291.01019091213,126.39686500000114,0,2.0037305148434825e-12,false
1009,485.7435568265301,0.0,false,44710.96582784888,126.39686700000084,0,1.8758328224066645e-12,false
1010,964.4256420421489,1.8380468897527442,true,131334.54741680168,3718.7880402498386,1,11367.363649073955,true
1011,719.5898376723629,0.0,false,75318.88682244954,137.08524119981251,1,27.989229061070105,false
1012,714.0833059847778,0.0,false,73826.95596671537,133.66389767259886,1,8.89947242685706,false
1013,325.522171882534,0.0,false,24459.4857058547,126.39686499999988,0,2.8421709430404007e-13,false
1014,810.4610756315559,0.0,false,88526.42502827293,137.0852454873405,1,27.98924290731516,false
1015,752.8375978240101,0.0,false,79668.62898552133,137.08524252169445,1,27.989232522631298,false
1016,521.1060974840171,0.0,false,49180.679963939765,126.39686699999999,0,1.9895196601282805e-13,false
1017,318.66977131724224,0.0,false,23593.363784087247,126.39686499999988,0,2.8421709430404007e-13,false
