scen,demand_mw,shed_mw,shed,cost_usd,lmp_at_slack,n_at_limit,lmp_spread,expensive_on
822,371.3398793938979,0.0,false,7426.797587877951,20.000001,1,2.2650279831282205e-5,false
823,457.3769375792909,3.715387564192193,true,10812.151783631234,20.000001,3,10007.858633546606,true
824,739.9052722726206,84.83786098251758,true,16754.6964516041,2256.254893516122,2,10224.289397560671,true
825,333.86538370605905,25.302043979761176,true,6850.008519957977,20.000000999999152,2,9996.958895646776,true
826,796.8171598907935,233.83959522733596,true,13377.806250615744,20.000001000003635,4,13121.009620833574,true
827,198.79093100979588,0.0,false,3975.818620195908,20.000000999999987,0,8.171241461241152e-14,false
828,358.3801068388223,47.8894346984574,true,7316.496988600142,20.000000999999997,2,9996.958895646778,true
829,309.2733311089474,0.0,false,6185.466622178933,20.000000999999987,0,8.881784197001252e-14,false
830,385.0498349036748,0.0,false,8142.33684144484,20.000000999999983,1,26.46923094627636,true
831,541.4986871791908,0.0,false,12315.74030772941,20.000000999999983,1,26.46923094627636,true
832,346.1730893258564,23.537055101153413,true,7307.481708940139,20.00000100000095,2,9996.958895646781,true
833,415.3799995622091,16.67676127907722,true,8574.90273886179,20.262676984082198,2,9996.473484952823,true
834,277.9639942311369,0.0,false,5559.279884622723,20.000000999999987,0,8.881784197001252e-14,false
835,242.07908490865884,0.0,false,4841.581698173166,20.000000999999987,0,8.881784197001252e-14,false
836,755.8612412654828,344.0557054414883,true,11229.136116995864,20.0000010000025,2,15172.172364722777,true
837,538.9462508748921,20.76519588552043,true,13061.309174994629,20.000001,6,13447.688627602854,true
838,207.75754025902427,0.0,false,4155.150805180481,20.000001,0,7.815970093361102e-14,false
839,379.1549540954769,0.0,false,7583.099081909532,20.000001,1,2.2650279550617824e-5,false
840,245.34186754499018,0.0,false,4906.837350899797,20.000000999999997,0,1.5631940186722204e-13,false
841,612.1959734040826,161.2890289656396,true,11018.138888768866,20.000000999999884,1,13208.144920053986,true
842,184.0989357923858,0.0,false,3681.9787158477106,20.000000999999997,0,7.460698725481052e-14,false
843,754.8653928914473,155.83324124187627,true,14513.286065982833,1297.2749369191833,3,15092.170749506837,true
844,887.3109319846291,353.7081580185239,true,13239.364197791065,20.000000999999827,3,15961.749191366118,true
845,331.47481786396327,0.0,false,6629.4963572792585,20.000000999999994,0,7.460698725481052e-14,false
846,362.5640933125385,24.917986398359833,true,7084.832660110226,20.000000999999997,2,9996.958895646776,true
847,254.44048206089442,0.0,false,5088.809641217884,20.000000999999994,0,7.460698725481052e-14,false
848,461.57775608407184,0.0,false,11212.21334951841,20.000000999999997,1,26.46923094627651,true
849,446.83539190363143,0.0,false,10006.497642190527,20.000000999999997,2,52.42102374840725,true
850,325.9165180223685,0.6369693772420257,true,7159.840521755601,20.00000099999999,2,9996.958895646774,true
851,529.8461039470302,0.7468483207132625,true,13081.985112526338,20.000001,2,15961.749191366122,true
852,149.09837371005082,0.0,false,2981.9674742010184,20.000001,0,2.842170943040401e-14,false
853,257.95012504208285,2.991817488611907,true,6859.697491915087,20.000001,2,9996.958895646772,true
854,420.14646347759975,28.134500905351942,true,7864.72312675141,20.262676984082255,2,9996.473484952821,true
855,187.19419192148405,0.0,false,3743.883838429681,20.000001,0,2.4868995751603507e-14,false
856,540.8261452402272,0.0,false,12185.04580960909,40.000003,0,4.973799150320701e-14,true
857,181.79449150123824,0.0,false,3635.889830024767,20.000001000000005,0,2.842170943040401e-14,false
858,459.5981219793154,0.0,false,10353.676495825493,20.00000100000001,1,26.46923094627637,true
859,267.1639872631617,38.442841181375755,true,5003.921336723162,20.000000999999983,2,9996.95889564678,true
860,532.9124222206264,30.55932577144998,true,12547.061928983532,20.00000099999998,2,15961.749191366122,true
861,486.4231665363633,0.0,false,11624.57981215736,20.000001000000008,1,26.46923094627636,true
862,190.03017576494636,0.0,false,4431.398835585322,20.000001,1,86.50662759252042,true
863,327.672537018483,0.0,false,6553.450740369663,20.000001000000008,0,2.4868995751603507e-14,false
864,355.45025111461774,0.0,false,7109.005022292361,20.000002000000002,0,2.842170943040401e-14,false
865,113.03839062196501,0.0,false,2287.758985307397,20.000001,1,86.50662759252042,true
866,325.47749930480273,16.45666186689235,true,7386.168180852046,20.00000099999999,2,9996.95889564678,true
867,651.8400119839513,184.66584552763612,true,12096.241178866205,20.000001000001475,2,15172.172364722755,true
868,566.3561929691627,0.0,false,13206.247718766512,40.000002999999985,0,4.973799150320701e-14,true
869,492.04469434484304,24.140642911550287,true,10391.743799568201,20.00000100000001,4,9989.018641617211,true
870,345.8930572291104,15.109131909676309,true,7054.884831773512,20.00000100000001,4,9981.67395472664,true
871,395.07456728310376,0.0,false,8043.187739357072,20.000001000000005,1,26.46923094627647,true
872,301.96807928050816,18.452512897094625,true,5976.03878203382,20.000001000000005,2,9996.958895646774,true
873,291.3320130727557,0.0,false,5826.640261455109,20.000000999999997,0,2.1316282072803006e-14,false
874,189.49446062986505,0.0,false,3789.8892125972975,20.000000999999997,0,2.1316282072803006e-14,false
875,221.17760504278414,0.0,false,4423.552100855678,20.000000999999997,0,2.1316282072803006e-14,false
876,329.23901536985363,0.0,false,6584.780307397066,20.000000999999997,0,2.1316282072803006e-14,false
877,337.48855921648664,0.0,false,6749.771184329728,20.00000200000001,0,3.197442310920451e-14,false
878,512.9556796294931,59.04235536654284,true,11381.129218726384,20.00000100000011,3,15172.1723647228,true
879,545.6835228550915,71.16524174455998,true,10177.01525630556,20.262676984083328,4,9981.389293347473,true
880,463.9751292206076,147.861710239369,true,8322.268379624773,20.00000099999943,1,13208.144920053983,true
881,238.21879088290072,0.0,false,4764.375817658014,20.000000999999997,0,8.526512829121202e-14,false
