hour,window_hour,branch,from_bus,to_bus,flow_mw,limit_mw,loading
6316,4,1,Kahe,Ewa-West,77.17973498094756,400.0,0.1929493374523689
6316,4,2,Kahe,Waianae,155.66026501905245,200.0,0.7783013250952622
6316,4,3,Ewa-West,Ewa-Central,327.00899247030753,400.0,0.8175224811757689
6316,4,4,Ewa-Central,Honolulu,243.87258193758544,600.0,0.4064543032293091
6316,4,5,Honolulu,Koolaupoko,-12.66214208945055,200.0,0.06331071044725274
6316,4,6,Waianae,Waialua,122.76865720344045,200.0,0.6138432860172023
6316,4,7,Waialua,Wahiawa,10.896377066449912,200.0,0.054481885332249555
6316,4,8,Wahiawa,Ewa-Central,-15.476874715830089,400.0,0.03869218678957522
6316,4,9,Waialua,Koolauloa,103.28537068867854,200.0,0.5164268534433927
6316,4,10,Koolauloa,Koolaupoko,89.42445429088254,200.0,0.4471222714544127
6317,5,1,Kahe,Ewa-West,69.21516457348278,400.0,0.17303791143370695
6317,5,2,Kahe,Waianae,163.62483542651722,200.0,0.8181241771325861
6317,5,3,Ewa-West,Ewa-Central,349.95166163212275,400.0,0.8748791540803069
6317,5,4,Ewa-Central,Honolulu,255.88173742678563,600.0,0.42646956237797606
6317,5,5,Honolulu,Koolaupoko,-13.35225720597838,200.0,0.0667612860298919
6317,5,6,Waianae,Waialua,129.10499022552924,200.0,0.6455249511276462
6317,5,7,Waialua,Wahiawa,11.631383070090877,200.0,0.058156915350454384
6317,5,8,Wahiawa,Ewa-Central,-16.047427101629122,400.0,0.040118567754072805
6317,5,9,Waialua,Koolauloa,108.46161885215037,200.0,0.5423080942607519
6317,5,10,Koolauloa,Koolaupoko,93.91454377214636,200.0,0.4695727188607318
6318,6,1,Kahe,Ewa-West,108.94423733370013,400.0,0.27236059333425033
6318,6,2,Kahe,Waianae,184.84926166629972,200.0,0.9242463083314987
6318,6,3,Ewa-West,Ewa-Central,392.98179229332015,400.0,0.9824544807333004
6318,6,4,Ewa-Central,Honolulu,279.70722546635903,600.0,0.4661787091105984
6318,6,5,Honolulu,Koolaupoko,-15.927897740427845,200.0,0.07963948870213923
6318,6,6,Waianae,Waialua,146.94439492392073,200.0,0.7347219746196036
6318,6,7,Waialua,Wahiawa,16.684991005187875,200.0,0.08342495502593937
6318,6,8,Wahiawa,Ewa-Central,-13.708007718822119,400.0,0.034270019297055296
6318,6,9,Waialua,Koolauloa,120.36369860107885,200.0,0.6018184930053943
6318,6,10,Koolauloa,Koolaupoko,104.39013501212186,200.0,0.5219506750606093
6319,7,1,Kahe,Ewa-West,118.58475277996,400.0,0.2964618819499
6319,7,2,Kahe,Waianae,198.04507696959055,200.0,0.9902253848479527
6319,7,3,Ewa-West,Ewa-Central,400.0,400.0,1.0
6319,7,4,Ewa-Central,Honolulu,315.27407055110564,600.0,0.5254567842518427
6319,7,5,Honolulu,Koolaupoko,-15.65977601054833,200.0,0.07829888005274165
6319,7,6,Waianae,Waialua,155.61438328747255,200.0,0.7780719164373627
6319,7,7,Waialua,Wahiawa,11.971961939114221,200.0,0.05985980969557111
6319,7,8,Wahiawa,Ewa-Central,-22.04994948730578,400.0,0.05512487371826445
6319,7,9,Waialua,Koolauloa,132.56517250969034,200.0,0.6628258625484517
6319,7,10,Koolauloa,Koolaupoko,114.68437139089633,200.0,0.5734218569544817
6320,8,1,Kahe,Ewa-West,118.7895351522,400.0,0.2969738378805
6320,8,2,Kahe,Waianae,198.9031689588958,200.0,0.9945158447944791
6320,8,3,Ewa-West,Ewa-Central,400.0,400.0,1.0
6320,8,4,Ewa-Central,Honolulu,318.0937227044563,600.0,0.5301562045074272
6320,8,5,Honolulu,Koolaupoko,-15.59668678707366,200.0,0.0779834339353683
